total_dist,total_time,avg_speed,min_speed,max_speed,target
766.0,6950.96,9.07,0.0,19.48,1
1519.0,8444.04,5.56,0.0,20.65,1
76.0,107.06,1.41,0.24,3.09,3
783.0,6748.39,8.62,0.0,28.76,1
66.0,592.88,8.98,2.98,14.1,1
325.0,489.98,1.51,0.0,2.96,3
888.0,3285.97,3.7,0.0,8.88,2
1062.0,11413.08,10.75,0.71,23.21,1
225.0,1690.28,7.51,0.0,13.02,1
1206.0,2904.95,2.41,0.0,9.72,2
12633.0,24282.61,1.92,0.0,27.44,1
2063.0,29472.33,14.29,0.0,34.72,1
102.0,194.97,1.91,0.99,4.1,3
462.0,2434.56,5.27,0.0,29.6,1
1343.0,1123.96,0.84,0.11,1.87,3
3733.0,13394.59,3.59,0.0,31.4,1
1608.0,10583.13,6.58,0.0,20.81,1
1802.0,1712.98,0.95,0.07,4.68,3
694.0,1068.0,1.54,0.0,6.07,2
3888.0,2077.37,0.53,0.05,4.76,2
330.0,411.12,1.25,0.0,4.21,3
1672.0,606.69,0.36,0.0,4.34,3
1960.0,7226.8,3.69,0.0,18.82,1
170.0,253.97,1.49,0.04,2.81,2
2130.0,4888.77,2.3,0.0,9.06,2
1911.0,873.41,0.46,0.0,4.23,3
562.0,1833.89,3.26,0.11,8.37,2
295.0,274.58,0.93,0.0,2.26,3
54.0,88.44,1.64,0.28,3.55,3
398.0,341.69,0.86,0.14,5.37,3
278.0,880.88,3.17,0.22,6.22,2
3490.0,4005.41,1.15,0.0,15.54,1
9.0,33.5,3.72,0.0,6.37,2
1166.0,15288.44,13.11,0.0,24.29,1
501.0,719.28,1.44,0.0,5.21,3
3459.0,4313.67,1.25,0.0,17.55,1
655.0,3323.35,5.07,0.0,26.93,1
1020.0,3808.4,3.73,0.0,6.78,2
86.0,1146.01,13.33,3.09,40.67,1
151.0,172.24,1.14,0.0,1.83,3
96.0,85.07,0.89,0.0,2.8,3
816.0,5112.08,6.26,0.0,22.32,1
99.0,1685.5,17.03,8.61,22.61,4
250.0,290.43,1.16,0.0,4.29,3
23.0,33.05,1.44,0.79,1.06,3
198.0,576.91,2.91,0.61,6.49,2
45.0,39.73,0.88,0.0,1.34,3
242.0,446.63,1.85,0.44,5.59,3
525.0,630.73,1.2,0.0,3.32,3
896.0,2532.91,2.83,0.39,6.55,2
2705.0,1625.75,0.6,0.0,3.05,3
10.0,13.24,1.32,0.79,1.43,3
180.0,246.04,1.37,0.0,3.23,3
1544.0,5198.85,3.37,0.0,10.69,2
697.0,7913.08,11.35,0.0,21.75,1
133.0,228.87,1.72,0.26,5.31,3
43.0,467.07,10.86,6.0,13.91,1
242.0,2581.63,10.67,2.45,19.2,1
1012.0,5900.84,5.83,0.04,17.15,1
795.0,4664.2,5.87,0.0,24.34,1
2096.0,112749.71,53.79,2.81,83.1,4
1278.0,2913.68,2.28,0.0,9.84,2
358.0,419.97,1.17,0.12,5.52,3
575.0,191.36,0.33,0.21,0.35,3
955.0,1180.24,1.24,0.0,5.72,3
147.0,223.07,1.52,0.19,3.84,3
66.0,54.95,0.83,0.0,1.75,2
1732.0,111799.2,64.55,9.85,83.73,4
779.0,2305.13,2.96,0.66,4.98,2
163.0,307.29,1.89,1.32,2.83,3
20616.0,4974.02,0.24,0.01,6.65,2
1758.0,111993.72,63.71,6.64,84.33,4
755.0,5119.62,6.78,0.0,25.03,1
14902.0,52514.42,3.52,0.0,11.54,2
104.0,128.81,1.24,0.38,3.11,3
354.0,743.69,2.1,0.06,4.74,3
192.0,222.07,1.16,0.04,2.1,3
478.0,1628.08,3.41,0.26,6.53,2
1604.0,2272.47,1.42,0.1,4.19,3
86.0,124.02,1.44,0.26,2.79,3
146.0,1027.48,7.04,2.06,15.48,1
190.0,2247.8,11.83,5.01,12.32,1
46.0,73.36,1.59,0.48,2.92,3
1078.0,3524.18,3.27,0.0,11.35,2
974.0,3259.74,3.35,0.04,11.35,2
156.0,95.87,0.61,0.0,2.48,3
214.0,256.24,1.2,0.12,2.65,3
23452.0,9382.42,0.4,0.0,5.48,3
1960.0,16920.12,8.63,0.0,22.99,1
152.0,280.81,1.85,0.13,5.14,3
315.0,599.14,1.9,0.0,5.23,3
350.0,2787.71,7.96,0.04,17.75,1
1077.0,4243.79,3.94,0.0,11.12,2
101.0,905.38,8.96,0.69,19.42,1
448.0,1518.59,3.39,0.0,10.85,2
110.0,160.35,1.46,0.24,4.49,3
493.0,523.02,1.06,0.0,5.7,3
6312.0,9163.97,1.45,0.0,10.14,2
16530.0,2695.79,0.16,0.0,9.49,2
380.0,536.84,1.41,0.2,2.54,3
868.0,1347.5,1.55,0.0,5.76,3
1985.0,1913.59,0.96,0.03,2.02,3
756.0,6234.31,8.25,0.0,22.05,1
1804.0,5135.01,2.85,0.11,12.12,2
1026.0,3257.43,3.17,0.0,11.66,2
318.0,1694.08,5.33,0.17,16.18,1
328.0,428.47,1.31,0.08,3.54,1
1086.0,3299.24,3.04,0.12,8.87,2
440.0,396.56,0.9,0.0,5.32,3
968.0,3332.61,3.44,0.0,8.63,2
117.0,175.09,1.5,0.0,2.74,3
849.0,2376.25,2.8,0.0,11.15,2
460.0,1630.99,3.55,0.3,10.33,2
652.0,8384.35,12.86,0.0,20.76,1
80.0,51.62,0.65,0.0,1.31,3
1466.0,4023.66,2.74,0.0,10.25,2
985.0,4161.11,4.22,0.2,13.29,2
66.0,67.46,1.02,0.24,2.29,2
26.0,4.87,0.19,0.04,0.71,3
1197.0,10629.87,8.88,0.0,20.94,1
748.0,2110.01,2.82,0.0,7.61,2
2762.0,4774.99,1.73,0.0,11.3,2
506.0,875.13,1.73,0.0,6.25,2
1298.0,3579.13,2.76,0.0,9.32,2
78.0,121.36,1.56,0.28,3.91,3
195.0,448.55,2.3,0.44,4.55,3
220.0,259.51,1.18,0.06,3.16,3
2976.0,3764.62,1.26,0.0,5.98,2
731.0,2600.52,3.56,0.74,6.04,2
328.0,416.22,1.27,0.04,4.21,3
655.0,2112.72,3.23,0.0,7.98,2
1892.0,30671.81,16.21,0.0,29.25,1
365.0,2724.49,7.46,1.2,42.13,1
899.0,2651.96,2.95,0.04,7.68,2
583.0,4162.73,7.14,0.0,16.46,1
120.0,208.73,1.74,0.28,4.51,3
352.0,637.01,1.81,0.07,5.03,3
330.0,281.42,0.85,0.07,3.43,3
2076.0,9966.84,4.8,0.0,29.54,1
417.0,80.68,0.19,0.1,1.7,3
886.0,163.58,0.18,0.0,2.28,3
28.0,31.02,1.11,0.5,3.05,3
234.0,72.85,0.31,0.0,2.38,3
310.0,358.39,1.16,0.04,2.81,3
272.0,916.12,3.37,0.0,6.72,2
96.0,85.07,0.89,0.0,2.8,3
990.0,4141.44,4.18,0.0,9.81,2
250.0,394.61,1.58,0.0,4.82,3
291.0,347.79,1.2,0.0,6.0,3
1022.0,2645.48,2.59,0.0,11.32,2
75.0,138.56,1.85,1.38,1.84,3
575.0,2200.13,3.83,0.0,7.51,2
97.0,28.06,0.29,0.0,2.63,3
1022.0,3424.16,3.35,0.07,10.67,2
586.0,1824.94,3.11,0.72,6.93,2
568.0,726.11,1.28,0.26,3.9,3
1436.0,2499.85,1.74,0.0,8.18,2
1104.0,3324.82,3.01,0.17,9.89,2
386.0,614.69,1.59,0.0,6.74,2
45.0,59.11,1.31,0.0,4.31,3
518.0,1610.2,3.11,0.0,10.57,2
106.0,657.84,6.21,1.03,13.14,1
1124.0,16196.32,14.41,0.03,21.77,1
614.0,736.33,1.2,0.71,1.72,3
790.0,982.09,1.24,0.44,1.75,3
902.0,2518.05,2.79,0.0,10.73,2
627.0,459.38,0.73,0.0,1.73,3
190.0,299.06,1.57,0.43,2.51,3
30.0,44.7,1.49,0.28,2.06,3
836.0,1028.19,1.23,0.34,5.85,3
797.0,4253.91,5.34,0.0,22.63,1
1608.0,3208.08,2.0,0.0,10.42,2
6.0,11.15,1.86,1.18,1.52,3
76.0,85.46,1.12,0.41,2.36,3
23452.0,9382.42,0.4,0.0,5.48,3
8173.0,187072.1,22.89,0.0,38.76,4
765.0,5085.97,6.65,0.0,17.76,1
989.0,1188.85,1.2,0.0,5.2,3
384.0,589.43,1.53,0.0,5.85,3
1060.0,8916.71,8.41,0.0,23.2,1
190.0,214.52,1.13,0.0,2.09,3
50.0,58.8,1.18,0.0,4.05,3
650.0,2125.82,3.27,0.0,6.36,2
161.0,281.97,1.75,0.37,4.19,3
205.0,109.29,0.53,0.0,3.44,3
75.0,69.87,0.93,0.0,1.95,3
774.0,433.29,0.56,0.04,3.6,3
1439.0,3387.5,2.35,0.06,7.59,2
1737.0,111816.55,64.37,5.34,81.35,4
1639.0,2990.62,1.82,0.15,11.31,2
76.0,118.03,1.55,0.17,4.69,3
355.0,599.91,1.69,0.31,4.05,3
12848.0,6016.67,0.47,0.05,9.64,1
405.0,2675.25,6.61,0.0,14.03,1
654.0,833.51,1.27,0.0,4.3,3
1144.0,17206.28,15.04,0.02,27.87,1
908.0,3129.21,3.45,0.0,10.18,2
6063.0,17047.06,2.81,0.08,6.64,2
582.0,804.85,1.38,0.0,4.7,3
1208.0,3164.28,2.62,0.0,12.84,2
1488.0,3635.99,2.44,0.0,10.11,2
292.0,15.69,0.05,0.0,0.05,3
1737.0,111743.85,64.33,2.66,84.38,4
106.0,170.2,1.61,1.06,1.67,3
1297.0,2550.54,1.97,0.1,19.31,4
1122.0,1301.92,1.16,0.0,3.91,3
520.0,2215.96,4.26,0.82,6.99,2
775.0,2406.25,3.1,0.29,4.32,2
190.0,356.5,1.88,0.51,4.28,3
1333.0,15303.14,11.48,0.0,21.69,1
567.0,1629.73,2.87,0.92,8.22,2
1304.0,1173.59,0.9,0.0,3.1,3
1172.0,1344.96,1.15,0.0,5.33,3
1034.0,2680.42,2.59,0.0,12.65,2
290.0,468.44,1.62,0.09,5.38,3
616.0,4600.51,7.47,0.0,18.51,1
35.0,22.09,0.63,0.0,1.41,3
1548.0,1665.05,1.08,0.0,5.29,3
2100.0,942.81,0.45,0.0,2.85,3
394.0,370.73,0.94,0.04,3.74,3
1016.0,3270.55,3.22,0.0,11.48,2
122.0,43.06,0.35,0.0,0.81,3
196.0,298.59,1.52,0.34,4.29,3
710.0,1854.93,2.61,0.04,9.46,2
102.0,77.57,0.76,0.06,2.22,3
666.0,2169.07,3.26,0.04,11.35,2
154.0,96.75,0.63,0.27,3.31,3
1048.0,2025.64,1.93,0.39,10.34,2
1070.0,629.62,0.59,0.13,1.12,3
14226.0,380833.62,26.77,0.0,44.38,4
646.0,570.21,0.88,0.37,1.42,3
144.0,152.07,1.06,0.0,3.19,3
248.0,140.53,0.57,0.0,2.15,3
5853.0,3154.6,0.54,0.0,5.21,3
777.0,5209.05,6.7,0.0,18.54,1
1688.0,1950.21,1.16,0.0,8.7,2
1928.0,3788.34,1.96,0.0,10.35,2
715.0,6881.68,9.62,0.0,25.05,1
4285.0,3495.31,0.82,0.0,5.69,3
709.0,194.06,0.27,0.0,3.93,3
668.0,726.1,1.09,0.4,4.01,3
22.0,32.74,1.49,0.07,2.88,3
533.0,5862.17,11.0,2.5,19.73,1
652.0,1095.26,1.68,0.06,5.62,3
546.0,1459.24,2.67,0.09,7.27,2
53.0,82.12,1.55,0.0,4.13,3
596.0,1958.98,3.29,0.0,13.42,2
2244.0,1119.01,0.5,0.09,3.13,3
666.0,2330.83,3.5,0.0,9.52,2
320.0,574.04,1.79,0.07,5.32,3
180.0,309.0,1.72,0.0,5.14,2
497.0,1612.31,3.24,0.0,6.62,2
265.0,340.62,1.29,0.08,4.62,3
130.0,175.52,1.35,0.43,1.55,3
1586.0,1649.67,1.04,0.14,4.58,3
2031.0,3668.6,1.81,0.0,11.4,2
1100.0,3237.64,2.94,0.0,8.38,2
285.0,591.78,2.08,0.0,4.92,3
720.0,1925.01,2.67,0.96,10.77,2
117.0,136.05,1.16,0.0,3.43,3
320.0,910.5,2.85,0.0,8.64,2
480.0,229.06,0.48,0.07,2.09,3
203.0,321.11,1.58,0.0,5.13,3
683.0,2101.68,3.08,0.0,6.32,2
523.0,475.39,0.91,0.0,5.5,3
232.0,261.03,1.13,0.0,2.55,3
582.0,1436.96,2.47,0.06,6.13,2
498.0,2586.08,5.19,0.3,13.8,1
306.0,438.71,1.43,0.0,4.77,3
2702.0,12499.22,4.63,0.14,16.66,1
1302.0,3921.88,3.01,0.0,10.64,2
832.0,1800.56,2.16,0.0,5.69,2
494.0,2225.53,4.51,1.06,6.75,2
893.0,13376.07,14.98,0.0,25.75,1
237.0,3704.91,15.63,8.27,21.07,1
611.0,1460.12,2.39,0.0,14.72,1
60.0,43.87,0.73,0.04,1.72,2
3093.0,2530.11,0.82,0.18,1.78,3
129.0,148.12,1.15,0.0,5.76,3
270.0,987.84,3.66,1.06,4.89,2
400.0,582.06,1.46,0.53,2.66,3
303.0,432.26,1.43,0.0,4.68,3
210.0,251.63,1.2,0.0,3.47,3
275.0,159.0,0.58,0.0,2.51,3
61.0,81.07,1.33,0.31,1.01,3
1762.0,111926.38,63.52,9.96,84.03,4
138.0,178.69,1.29,0.0,4.75,2
65.0,138.33,2.13,0.51,4.23,3
1202.0,3375.57,2.81,0.0,13.27,2
416.0,552.06,1.33,0.04,2.56,3
417.0,1072.61,2.57,0.38,4.13,3
1234.0,12910.61,10.46,0.0,20.89,1
1110.0,10503.7,9.46,0.0,20.73,1
410.0,1428.23,3.48,0.0,6.33,2
928.0,3046.24,3.28,0.0,7.95,2
182.0,38.13,0.21,0.0,1.39,3
880.0,1006.17,1.14,0.0,3.6,3
4625.0,3220.99,0.7,0.0,4.45,3
460.0,1518.33,3.3,1.11,5.76,2
1164.0,3339.1,2.87,0.06,10.15,2
146.0,216.98,1.49,0.34,3.35,3
128.0,109.74,0.86,0.04,4.28,3
2877.0,682.67,0.24,0.08,3.31,3
2260.0,4902.4,2.17,0.0,9.68,2
114.0,247.5,2.17,1.19,1.32,3
13550.0,263326.02,19.43,0.0,34.69,4
5511.0,17780.34,3.23,0.04,25.63,1
78.0,83.92,1.08,0.19,2.07,3
179.0,125.45,0.7,0.0,5.08,3
771.0,5801.85,7.53,0.0,17.96,1
832.0,3956.7,4.76,0.04,12.85,2
1058.0,3207.31,3.03,0.0,12.05,2
1212.0,15352.63,12.67,0.09,21.35,1
442.0,3694.23,8.36,0.0,18.38,1
1024.0,3501.3,3.42,0.0,12.36,2
2044.0,1162.02,0.57,0.0,4.8,3
770.0,1072.84,1.39,0.0,3.98,3
986.0,1453.95,1.47,0.0,5.04,3
30.0,53.12,1.77,0.87,3.15,3
40.0,62.94,1.57,0.46,0.92,3
1034.0,9037.07,8.74,0.0,23.13,1
1526.0,2852.98,1.87,0.0,8.26,2
145.0,242.93,1.68,0.63,2.75,3
736.0,1206.99,1.64,0.0,4.9,3
195.0,493.67,2.53,0.22,10.16,2
259.0,408.9,1.58,0.0,4.01,3
712.0,2307.09,3.24,0.93,5.88,2
496.0,490.69,0.99,0.04,4.61,3
575.0,191.36,0.33,0.21,0.35,3
180.0,141.15,0.78,0.0,2.79,3
1176.0,19808.88,16.84,0.04,33.35,1
222.0,259.58,1.17,0.0,2.15,3
925.0,1007.67,1.09,0.0,2.13,3
874.0,4156.46,4.76,1.67,9.05,2
260.0,191.67,0.74,0.11,2.63,3
210.0,775.72,3.69,0.7,13.26,2
615.0,578.93,0.94,0.0,2.9,3
188.0,264.78,1.41,0.0,4.61,3
62.0,139.57,2.25,0.45,5.22,3
1012.0,3266.88,3.23,0.0,7.43,2
312.0,364.63,1.17,0.0,2.17,3
450.0,662.19,1.47,0.0,3.24,3
355.0,330.65,0.93,0.0,3.3,3
304.0,157.22,0.52,0.11,2.58,3
956.0,2224.38,2.33,0.07,11.8,2
332.0,481.01,1.45,0.41,3.41,3
354.0,485.53,1.37,0.2,5.77,3
386.0,1169.56,3.03,0.28,6.12,2
1070.0,3284.32,3.07,0.46,13.56,2
1111.0,925.36,0.83,0.0,5.55,3
382.0,602.84,1.58,0.34,3.9,3
340.0,2322.03,6.83,0.0,16.74,1
92.0,246.5,2.68,0.41,10.83,2
137.0,73.53,0.54,0.0,1.95,3
110.0,359.22,3.27,0.0,4.42,2
11983.0,4441.73,0.37,0.0,4.61,3
89.0,117.21,1.32,0.71,1.6,3
1316.0,636.28,0.48,0.0,4.79,3
140.0,199.88,1.43,0.0,3.1,3
258.0,2739.05,10.62,2.41,16.7,1
91.0,174.77,1.92,0.6,4.29,3
938.0,1409.06,1.5,0.0,5.1,3
71.0,107.59,1.52,0.28,3.0,2
3753.0,11306.48,3.01,0.0,6.79,2
1791.0,19685.38,10.99,0.0,22.57,1
147.0,198.33,1.35,0.0,3.32,3
1179.0,8300.29,7.04,0.0,22.11,1
445.0,578.66,1.3,1.0,1.3,3
534.0,405.66,0.76,0.19,3.55,3
94.0,171.56,1.83,0.17,4.29,3
834.0,2401.78,2.88,0.07,9.05,2
80.0,117.35,1.47,0.77,1.96,3
206.0,348.97,1.69,0.6,3.29,3
2141.0,2201.61,1.03,0.12,2.4,3
3367.0,1168.02,0.35,0.0,5.81,3
1250.0,4171.48,3.34,0.0,13.01,2
474.0,386.1,0.81,0.0,4.78,3
422.0,613.19,1.45,0.0,4.48,3
152.0,151.26,1.0,0.0,4.17,3
1745.0,1523.66,0.87,0.0,4.48,3
1685.0,802.64,0.48,0.0,5.76,3
935.0,13922.1,14.89,0.0,22.45,1
1414.0,1812.72,1.28,0.06,5.85,3
148.0,198.95,1.34,0.21,4.83,3
475.0,1614.71,3.4,0.53,5.38,2
305.0,534.97,1.75,0.41,4.05,3
206.0,125.82,0.61,0.32,0.94,3
1700.0,2019.78,1.19,0.0,9.7,2
989.0,1548.59,1.57,0.0,5.57,3
1021.0,3586.64,3.51,0.09,10.74,2
428.0,1353.72,3.16,0.28,12.56,2
1099.0,4063.01,3.7,0.0,22.67,1
150.0,511.34,3.41,0.04,6.59,2
675.0,1113.99,1.65,0.07,5.19,3
305.0,481.25,1.58,0.36,4.1,3
1013.0,2848.02,2.81,0.14,12.08,2
1428.0,5033.07,3.52,0.0,9.39,2
1075.0,4916.66,4.57,0.0,13.31,2
2502.0,857.75,0.34,0.06,1.15,3
372.0,533.31,1.43,0.0,4.5,3
906.0,14253.11,15.73,0.21,21.72,1
135.0,40.02,0.3,0.0,0.96,3
559.0,1817.79,3.25,0.28,10.16,1
270.0,393.91,1.46,0.09,5.04,3
642.0,605.12,0.94,0.0,3.85,3
960.0,9738.34,10.14,0.0,24.18,1
100.0,99.39,0.99,0.0,2.97,3
73.0,113.66,1.56,0.42,2.87,3
5335.0,2271.07,0.43,0.0,4.78,3
1398.0,7384.53,5.28,0.0,20.78,1
48.0,81.1,1.69,0.11,5.28,3
1056.0,3359.72,3.18,0.0,11.85,2
181.0,252.87,1.4,0.0,5.73,3
256.0,269.19,1.05,0.0,4.78,3
34558.0,689.56,0.02,0.0,4.35,3
515.0,215.29,0.42,0.0,3.28,3
100.0,110.27,1.1,0.0,2.6,3
1004.0,15309.73,15.25,0.82,20.03,1
485.0,878.81,1.81,0.31,5.82,3
1131.0,2090.6,1.85,0.03,10.44,2
227.0,219.4,0.97,0.0,4.07,3
699.0,1202.67,1.72,0.0,5.07,3
2169.0,8724.0,4.02,0.08,8.58,2
1468.0,4018.64,2.74,0.0,12.19,2
134.0,572.34,4.27,0.85,10.99,1
1254.0,4209.48,3.36,0.16,13.33,2
711.0,1093.7,1.54,0.06,5.56,3
762.0,3682.9,4.83,0.0,10.94,2
890.0,966.39,1.09,0.05,3.9,3
540.0,489.33,0.91,0.0,3.04,3
391.0,377.16,0.96,0.0,1.93,3
1056.0,980.8,0.93,0.0,3.57,3
854.0,909.92,1.07,0.49,1.57,3
5707.0,145933.59,25.57,0.21,40.78,4
42.0,69.56,1.66,0.26,4.97,3
261.0,3941.34,15.1,3.26,19.84,4
190.0,199.19,1.05,0.0,3.03,3
5253.0,3365.85,0.64,0.0,2.31,3
1040.0,1180.9,1.14,0.0,3.87,3
631.0,2950.32,4.68,0.0,16.72,1
223.0,303.79,1.36,0.0,3.23,3
941.0,9191.81,9.77,3.16,14.39,1
460.0,612.39,1.33,0.0,6.0,3
64.0,48.73,0.76,0.06,2.69,3
